seccion,manzana,parcela,partida,calle_nombre,calle_altura,vencimiento_certificado
12,2,17,218464.0,ENTRE RIOS AV.,676.0,2020-01-26
31,9,17,423182.0,THAMES,558.0,2020-01-26
20,65,11,200300.0,"YRIGOYEN, HIPOLITO",1970.0,2020-01-26
15,125,027C,447452.0,PARAGUAY,2661.0,2020-01-26
9,82,26,205195.0,VIAMONTE,1861.0,2020-01-26
89,097A,017E,307042.0,"BEIRO, FRANCISCO AV.",4489.0,2020-01-26
9,48,22,206269.0,TUCUMAN,2285.0,2020-01-26
54,191,21,22185.0,DIRECTORIO AV.,3309.0,2020-01-26
17,82,001B,171121.0,GUARDIA VIEJA,4048.0,2020-01-26
41,123,28,328843.0,MOLDES,2902.0,2020-01-26
37,156,034A,416740.0,"ARREDONDO, Virrey",2425.0,2020-01-26
31,87,4,420714.0,"ALVAREZ, JULIAN",1075.0,2020-01-26
33,14,14,401092.0,"LEMOS, JUAN GREGORIO, Gral.",91.0,2020-01-26
48,90,29,143510.0,"RECUERO, CASIMIRO, Tte. Cnel.",2501.0,2020-01-26
39,42,008D,325937.0,JURAMENTO,3255.0,2020-01-26
60,28,1,11235.0,RIVADAVIA AV.,10702.0,2020-01-26
48,8,15,146350.0,PORTELA,472.0,2020-01-26
9,77,009A,205106.0,CORRIENTES AV.,1872.0,2020-01-26
25,051B,0,336049.0,11 DE SEPTIEMBRE DE 1888,2231.0,2020-01-26
21,62,15,429954.0,"SCALABRINI ORTIZ, RAUL",3165.0,2020-01-26
65,115,1,134371.0,"VALLESE, FELIPE",2116.0,2020-01-27
31,90,31,421718.0,CORDOBA AV.,4660.0,2020-01-27
45,125,25,174193.0,"ACEVEDO, EDUARDO",24.0,2020-01-27
19,11,024C,425435.0,LAVALLEJA,1310.0,2020-01-27
27,45,028B,372289.0,3 DE FEBRERO,2544.0,2020-01-27
15,12,35,444905.0,"DIAZ, CNEL. AV.",1784.0,2020-01-27
12,78,13,216307.0,DE MAYO AV.,961.0,2020-01-27
11,77,23,440103.0,CALLAO AV.,1156.0,2020-01-27
21,001B,6,429197.0,"SALGUERO, JERONIMO",2085.0,2020-01-28
79,008B,19,263596.0,SEGUROLA AV.,1567.0,2020-01-28
83,185,11,269646.0,NAVARRO,3460.0,2020-01-28
23,26,31,411514.0,"LACROZE, FEDERICO AV.",2137.0,2020-01-28
8,17,1,111475.0,"VILLAFAÑE, WENCESLAO",1420.0,2020-01-28
49,180,28,304726.0,OLLEROS,4159.0,2020-01-28
7,48,30,451380.0,ARENALES,1289.0,2020-01-28
20,56,17,200634.0,RINCON,294.0,2020-01-28
4,7,001C,214376.0,CHACABUCO,1305.0,2020-01-28
54,082B,28,4464.0,"ALBERDI, JUAN BAUTISTA AV.",4367.0,2020-01-28
2,45,26,215316.0,BALCARCE,783.0,2020-01-28
3,47,8,452929.0,DEL LIBERTADOR AV.,134.0,2020-01-28
45,86,017A,178384.0,ACOYTE AV.,735.0,2020-01-28
16,10,1,113511.0,CASEROS AV.,1952.0,2020-01-28
45,107,039A,179040.0,CAMPICHUELO,644.0,2020-01-28
43,32,15,331955.0,MELIAN AV.,3823.0,2020-01-28
10,11,2,123041.0,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",1546.0,2020-01-28
18,132B,009A,119701.0,"MONTES DE OCA, MANUEL",1795.0,2020-01-28
15,81,25,443470.0,GALLO,1225.0,2020-01-28
20,49,1,200874.0,RINCON,101.0,2020-01-28
47,1,2,230052.0,"RODRIGUEZ, MANUEL A., GENERAL",1134.0,2020-01-28
65,123,30,133822.0,AVELLANEDA AV.,2015.0,2020-01-28
20,19,001I,202501.0,RIVADAVIA AV.,2594.0,2020-01-28
5,53,020G,223442.0,LIBERTAD,325.0,2020-01-28
12,22,22,217851.0,"SAENZ PEÑA, LUIS, PRES.",163.0,2020-01-28
18,142A,51,117136.0,"MONTES DE OCA, MANUEL",1089.0,2020-01-28
23,93,11,412852.0,"NEWBERY, JORGE",1796.0,2020-01-28
23,086A,2,412943.0,ARCE,808.0,2020-01-28
15,105,7,443354.0,ARENALES,2858.0,2020-01-28
25,12,007E,373363.0,VUELTA DE OBLIGADO,2227.0,2020-01-28
48,132,29,141308.0,DIRECTORIO AV.,2167.0,2020-01-28
57,83,22,131096.0,RIVADAVIA AV.,5881.0,2020-01-28
5,13,9,222827.0,LAVALLE,1672.0,2020-01-28
22,43,30,180839.0,RINCON,1083.0,2020-01-28
48,104,022Q,148135.0,PEDERNERA,662.0,2020-01-28
39,79,11,326589.0,MOLDES,2348.0,2020-01-28
23,13,019A,416197.0,GOROSTIAGA,2326.0,2020-01-28
23,94,12,413002.0,"NEWBERY, JORGE",1765.0,2020-01-28
15,22,12,444399.0,"MANSILLA, LUCIO NORBERTO, GENERAL",3371.0,2020-01-28
8,27,006H,119081.0,RUY DIAZ DE GUZMAN,103.0,2020-01-28
12,17,17,217963.0,"CEVALLOS, Virrey",646.0,2020-01-28
30,93,3,182612.0,SAN JUAN AV.,2714.0,2020-01-28
11,79,30,441782.0,JUNCAL,1971.0,2020-01-28
18,132B,8,114012.0,"IRIARTE, GRAL.",1717.0,2020-01-28
47,174,26,225437.0,ACEVEDO,396.0,2020-01-28
62,39,002I,94450.0,"ALBERDI, JUAN BAUTISTA AV.",5674.0,2020-01-28
45,97,33,175132.0,"LOBOS, ELEODORO, Dr.",514.0,2020-01-28
1,45,19,223304.0,CORRIENTES AV.,369.0,2020-01-28
4,23,19,210678.0,PERU,960.0,2020-01-29
40,129,7,155357.0,"ALBERDI, JUAN BAUTISTA AV.",162.0,2020-01-29
71,085A,10,257031.0,"CARRIL, SALVADOR MARIA DEL AV.",2636.0,2020-01-29
39,17,001C,325584.0,JURAMENTO,3544.0,2020-01-29
3,39,3,450387.0,JUNCAL,734.0,2020-01-29
41,71,18,330604.0,AZURDUY JUANA,3375.0,2020-01-29
48,111C,21,141953.0,"ORTIZ, CARLOS",829.0,2020-01-29
21,47,29,430318.0,LAS HERAS GENERAL AV.,4015.0,2020-01-29
29,5,18,339710.0,VILELA,2393.0,2020-01-29
48,63,14,144184.0,LAFUENTE,224.0,2020-01-29
65,042A,13,136229.0,YERBAL,2733.0,2020-01-29
45,153,32,174027.0,RIO DE JANEIRO,730.0,2020-01-29
42,31,28,139772.0,THORNE,445.0,2020-01-29
7,19,28,452302.0,ARENALES,1693.0,2020-01-29
48,114C,18,142395.0,"LAFERRERE, GREGORIO de",2379.0,2020-01-29
48,75,033A,143970.0,CULPINA,778.0,2020-01-29
45,84,18,178094.0,"ARANGUREN, JUAN F., Dr.",493.0,2020-01-29
37,93,19,409571.0,DE LOS INCAS AV.,3199.0,2020-01-29
22,41,26,180908.0,RINCON,1281.0,2020-01-29
48,114D,16,142427.0,ROBERTSON,582.0,2020-01-29
3,36,001A,450348.0,MAIPU,1020.0,2020-01-29
15,013B,29,446538.0,ANASAGASTI,2080.0,2020-01-29
4,11,38,211156.0,CHACABUCO,937.0,2020-01-29
65,041B,13,136206.0,TERRADA,55.0,2020-01-29
38,132,21,39605.0,ALAGON,75.0,2020-01-29
8,55,20,110496.0,CASEROS AV.,439.0,2020-01-29
22,42,6,180854.0,HUMBERTO 1°,2168.0,2020-01-29
22,2,4,182158.0,CONSTITUCION,2526.0,2020-01-29
19,017A,6,427464.0,"CABRER, Cnel.",4976.0,2020-01-29
45,103B,2,174774.0,BOGOTA,210.0,2020-01-29
48,1,003B,146611.0,PRIMERA JUNTA,3418.0,2020-01-29
35,75,13,416852.0,SOLER,5894.0,2020-01-29
9,59,19,205499.0,"MITRE, BARTOLOME",2073.0,2020-01-29
45,86,20,175312.0,ACOYTE AV.,725.0,2020-01-29
47,127,21,227234.0,"DUMONT, SANTOS",4457.0,2020-01-30
21,98,22,433395.0,ZENTENO,3160.0,2020-01-30
30,90,14,182739.0,CATAMARCA,1536.0,2020-01-30
25,26,021A,376456.0,O'HIGGINS,2202.0,2020-01-30
48,108,32,142783.0,"ALBERDI, JUAN BAUTISTA AV.",2465.0,2020-01-30
48,69,023B,148334.0,"FERNANDEZ MORENO, BALDOMERO",2805.0,2020-01-30
39,88,003C,325193.0,AMENABAR,1893.0,2020-01-30
33,91,13,405423.0,"NEWBERY, JORGE",3234.0,2020-01-30
19,79,4,426082.0,"SCALABRINI ORTIZ, RAUL AV.",1837.0,2020-01-30
48,85,5,143897.0,PRIMERA JUNTA,2656.0,2020-01-30
48,111F,5,142618.0,ROBERTSON,832.0,2020-01-30
45,87,21,175354.0,DIAZ VELEZ AV.,5173.0,2020-01-30
65,48,032B,136435.0,CONDARCO,832.0,2020-01-30
